,saliency,display_index,word_length,sentence_length,relative_word_frequency,lemma_polarity,normalized_saliency_rank,word_position,human_importance_rating,capitalization,dependency_relation,sentence_id,worker_id,visualization_condition,condition_order,completion_time_ms
96,0.01566666666,96,3,2,0.0003718019184271459,0.0,1.0,2,1,other,punct,reviews-103519-0001,b0c35e7fbb70b6c92d5b66f992169545b0e4afb21b3b4f28f319dfcc3a0b23e1,bars,saliency__bars__saliency-corrected,5068
97,0.53,97,4,4,0.0,0.17995999999999998,0.25,1,6,first_upper,advmod,reviews-250878-0002,b0c35e7fbb70b6c92d5b66f992169545b0e4afb21b3b4f28f319dfcc3a0b23e1,bars,saliency__bars__saliency-corrected,5888
98,1.0,98,5,1,0.0,0.0,1.0,1,7,first_upper,root,reviews-187163-0001,b0c35e7fbb70b6c92d5b66f992169545b0e4afb21b3b4f28f319dfcc3a0b23e1,bars,saliency__bars__saliency-corrected,5756
99,0.828,99,9,2,0.0,0.0,0.5,1,7,other,compound,reviews-002317-0001,b0c35e7fbb70b6c92d5b66f992169545b0e4afb21b3b4f28f319dfcc3a0b23e1,bars,saliency__bars__saliency-corrected,5922
100,0.948,100,4,2,6.470590049478243e-05,0.0193,0.5,1,5,other,amod,reviews-037179-0001,b0c35e7fbb70b6c92d5b66f992169545b0e4afb21b3b4f28f319dfcc3a0b23e1,saliency-corrected,saliency__bars__saliency-corrected,13457
101,0.519,101,6,7,7.090436292535739e-06,0.50422,0.14285714285714285,6,6,other,root,reviews-369608-0001,b0c35e7fbb70b6c92d5b66f992169545b0e4afb21b3b4f28f319dfcc3a0b23e1,saliency-corrected,saliency__bars__saliency-corrected,7510
102,0.0174,102,5,7,0.0016096197476119136,0.0,1.0,4,6,other,case,reviews-217747-0003,b0c35e7fbb70b6c92d5b66f992169545b0e4afb21b3b4f28f319dfcc3a0b23e1,saliency-corrected,saliency__bars__saliency-corrected,4210
103,0.11699999999999999,103,1,4,0.0,-0.19821,0.75,1,6,all_upper,nsubj,reviews-229100-0008,b0c35e7fbb70b6c92d5b66f992169545b0e4afb21b3b4f28f319dfcc3a0b23e1,saliency-corrected,saliency__bars__saliency-corrected,4330
104,0.48,104,6,8,6.404069964857439e-05,-0.044539999999999996,0.125,6,5,other,compound,reviews-212369-0002,b0c35e7fbb70b6c92d5b66f992169545b0e4afb21b3b4f28f319dfcc3a0b23e1,saliency-corrected,saliency__bars__saliency-corrected,4405
105,0.051,105,3,3,0.0,0.0,1.0,3,7,other,punct,reviews-343813-0006,b0c35e7fbb70b6c92d5b66f992169545b0e4afb21b3b4f28f319dfcc3a0b23e1,saliency-corrected,saliency__bars__saliency-corrected,4283
